TrialIndex,nBack,stimType,fixT,stimT,stimPic,mwType,Ans
126,1,END,     0.500,     4.500,My thoughts at different points in time were all on the same theme,Thematic,Not at all                            Completely
127,1,END,     0.500,     4.500,My thoughts involved past events,Past,Not at all                            Completely
128,1,END,     0.500,     4.500,I was thinking about solutions to problems (or goals),Problem,Not at all                            Completely
129,1,END,     0.500,     4.500,My thoughts were in the form of words,Words,Not at all                            Completely
130,1,END,     0.500,     4.500,My thoughts were intrusive,Intrusive,Not at all                            Completely
131,1,END,     0.500,     4.500,I was thinking about an event that has happened or could take place,Realistic,Not at all                            Completely
132,1,END,     0.500,     4.500,My thoughts were:,Deliberate,Spontaneous                            Deliberate
133,1,END,     0.500,     4.500,My thoughts were in the form of images,Images,Not at all                            Completely
134,1,END,     0.500,     4.500,My thoughts gave me a new insight into something I have thought about before,Creative,Not at all                            Completely
135,1,END,     0.500,     4.500,My thoughts were hard for me to stop,Stop,Not at all                            Completely
136,1,END,     0.500,     4.500,My thoughts were about ideas rather than events or objects,Abstract,Not at all                            Completely
137,1,END,     0.500,     4.500,My thoughts involved future events,Future,Not at all                            Completely
138,1,END,     0.500,     4.500,My thoughts tended to evolve in a series of steps,Evolving,Not at all                            Completely
139,1,END,     0.500,     4.500,My thoughts were related to:,Temporal D,The here and now                            A more distant time
140,1,END,     0.500,     4.500,My thoughts involved myself,Self,Not at all                            Completely
141,1,END,     0.500,     4.500,My thoughts involved other people,Other,Not at all                            Completely
142,1,END,     0.500,     4.500,My thoughts were vivid as if I was there,Vivid,Not at all                            Completely
